Date,Living,room,Toilets,Bathroom,Showers,Hallways,Kit,ch,en,Laundry,Notask1,Notask2,Notask3,Notask4,Notask5,Unnamed: 16
43563,107,101,213,212,103,214,0,0,0,0,0,0,0,0,0,8-4-2019
43570,106,105,104,102,216,217,0,0,0,0,0,0,0,0,0,15-4-2019
43577,211,215,103,213,212,101,0,0,0,0,0,0,0,0,0,22-4-2019
43584,216,217,102,214,107,105,0,0,0,0,0,0,0,0,0,29-4-2019
43591,104,211,106,103,213,212,215,101,105,216,0,0,0,0,0,6-5-2019
43598,102,214,217,107,106,213,0,0,0,0,0,0,0,0,0,13-5-2019
43605,215,104,211,216,101,103,0,0,0,0,0,0,0,0,0,20-5-2019
43612,217,106,105,102,214,107,0,0,0,0,0,0,0,0,0,27-5-2019
43619,212,103,215,211,101,216,213,107,217,214,104,0,0,0,0,3-6-2019
43626,105,102,106,216,215,211,0,0,0,0,104,0,0,0,0,10-6-2019
43633,214,212,213,101,217,211,0,0,0,0,104,0,0,0,0,17-6-2019
43640,213,103,216,105,102,106,0,0,0,0,104,0,0,0,0,24-6-2019
43710,104,101,211,217,215,214,213,216,103,107,0,0,0,0,0,2-9-2019
43717,212,106,102,105,214,104,0,0,0,0,0,0,0,0,0,9-9-2019
43724,101,107,215,217,211,103,0,0,0,0,0,0,0,0,0,16-9-2019
43731,216,213,212,104,105,102,0,0,0,0,0,0,0,0,0,23-9-2019
43738,106,214,107,215,103,217,0,0,0,0,0,0,0,0,0,30-9-2019
43745,211,216,101,212,104,102,105,213,217,106,0,0,0,0,0,7-10-2019
43752,103,215,214,107,102,212,0,0,0,0,0,0,0,0,0,14-10-2019
43759,101,105,104,106,211,213,0,0,0,0,0,0,0,0,0,21-10-2019
43766,217,216,212,215,107,214,0,0,0,0,0,0,0,0,0,28-10-2019
43773,103,102,101,106,213,104,211,105,214,212,0,0,0,0,0,4-11-2019
43780,215,107,217,216,104,101,0,0,0,0,0,0,0,0,0,11-11-2019
43787,102,211,105,103,212,106,0,0,0,0,0,0,0,0,0,18-11-2019
43794,214,213,107,101,217,215,0,0,0,0,0,0,0,0,0,25-11-2019
43801,105,104,216,211,106,103,212,102,215,213,0,0,0,0,0,2-12-2019
43808,107,217,214,101,103,105,0,0,0,0,0,0,0,0,0,9-12-2019
43815,213,212,102,104,216,215,0,0,0,0,0,0,0,0,0,16-12-2019
43836,104,212,107,211,106,105,103,214,216,217,0,0,0,0,0,6-1-2020
43843,215,102,101,213,105,212,0,0,0,0,0,0,0,0,0,13-1-2020
43850,107,106,104,103,211,216,0,0,0,0,0,0,0,0,0,20-1-2020
43857,214,217,212,102,215,101,0,0,0,0,0,0,0,0,0,27-1-2020
43864,105,213,211,104,107,106,216,103,101,102,0,0,0,0,0,3-2-2020
43871,212,215,214,217,106,211,0,0,0,0,0,0,0,0,0,10-2-2020
43878,102,104,216,107,101,213,0,0,0,0,0,0,0,0,0,17-2-2020
43885,103,105,217,215,214,211,0,0,0,0,0,0,0,0,0,24-2-2020
43892,106,107,213,212,104,102,101,216,211,105,0,0,0,0,0,2-3-2020
43899,215,103,217,214,102,104,0,0,0,0,0,0,0,0,0,9-3-2020
43906,211,216,106,105,212,107,0,0,0,0,0,0,0,0,0,16-3-2020
43913,101,213,103,104,217,215,0,0,0,0,0,0,0,0,0,23-3-2020
43920,214,107,105,106,216,102,0,0,0,0,0,0,0,0,0,30-3-2020
43927,212,214,216,213,104,217,101,107,105,106,102,103,211,215,0,6-4-2020
